region,year,q0.05,q0.25,q0.5,q0.75,q0.95
Unknown,2014,26,31,37,42,47
North East,2015,27.85,32,35.5,40,47
North West,2015,28,36,41,46,53
Yorkshire & Humber,2015,27,33,37,43,52
East Midlands,2015,26.6,32,36,42,49
West Midlands,2015,27,31.25,37,41,50.75
East of England,2015,25,32,38,44,54
London,2015,27,34,40,47,55.35
South East,2015,28,33,38,44,51
South West,2015,26,32,37,43,53
No fixed abode,2015,27,32,37,42,49.7
Unknown,2015,28,34,38.5,44,50
North East,2016,28,34,37,41,48
North West,2016,28,36,41,46,52
Yorkshire & Humber,2016,28,34,38,43,52
East Midlands,2016,26,32,37,42,51
West Midlands,2016,27,33,37,43,51
East of England,2016,26,33.75,40,45,55
London,2016,28,36,41,47,55
South East,2016,28,34,39,45,54
South West,2016,27,33,38,44,53
No fixed abode,2016,24,31,35,40,50
Unknown,2016,28,33,38,42.75,51
North East,2017,27,33,37,42,48
North West,2017,29,36,42,47,53.1500000000001
Yorkshire & Humber,2017,27,34,39,43,52
East Midlands,2017,26,33,37,42,50
West Midlands,2017,27.35,33.75,37,43,51
East of England,2017,26.15,34,38,45,55
London,2017,28,36,42,48,56.05
South East,2017,27,34,38,44,52
South West,2017,27,35,39,44,52.8
No fixed abode,2017,26,32,37,41,48
Unknown,2017,26.4,32,36,42,51.6
North East,2018,28.5,35,38,43,51
North West,2018,29,36,42,47,54
Yorkshire & Humber,2018,29,35,39,45,52
East Midlands,2018,28,35,39,45,53
West Midlands,2018,28,34,38,43,51
East of England,2018,28,34,38.5,45,52
London,2018,30,37,43,50,56
South East,2018,28,35,41,46,54.7
South West,2018,27,35,40,45,53
No fixed abode,2018,26,33,38,43,49
Unknown,2018,26,33,38,43,49.75
North East,2019,26.25,34,38,43,52
North West,2019,30,37,43,48,55
Yorkshire & Humber,2019,29,36,40,45,53
East Midlands,2019,27,35,40,46,54
West Midlands,2019,29,34,38,44,52
East of England,2019,30,35,41,47,55
London,2019,30,38,44,51,58.8
South East,2019,29,36,41,47,56
South West,2019,27,34,40,46,54
No fixed abode,2019,27.25,34,38,43,51
Unknown,2019,28,34,39,43,50
North East,2020,28,35,40,45,54
North West,2020,31,38,43,49,56
Yorkshire & Humber,2020,31,37,41,46,54
East Midlands,2020,29.3,35,39,45,51
West Midlands,2020,29,36,40,44,53.2
East of England,2020,29,37,41,46,55
London,2020,29.25,38.25,44,50,59
South East,2020,28,34,41,47,57
South West,2020,26,36,40,45,54
No fixed abode,2020,27,33,38,44,50
Unknown,2020,30,34,38,43.25,52.7
North East,2021,28.2,37,40,45,54
North West,2021,32,39,43,48,58
Yorkshire & Humber,2021,30,37,41,46,53
East Midlands,2021,29.3,36.5,40,48,52.7
West Midlands,2021,29.85,36,40,44.75,52.3
East of England,2021,34,37.75,42,48.25,56.7
London,2021,29.1,39,44,50,60.8
South East,2021,30.7,35,43,48,55.3
South West,2021,26.9,34,40,47,54
No fixed abode,2021,28.8,34,39,41,51.1
Unknown,2021,30,37,42,48,56
England,2002,21,26,31,36,44
England,2003,21,26,31,36,43
England,2004,22,27,31,37,45
England,2005,23,28,32,38,46
England,2006,23,28,33,38,46
England,2007,23,29,34,39,47
England,2008,24,29,35,39,48
England,2009,24,30,35,41,49
England,2010,25,30,36,41,50
England,2011,25,31,36,41,50
England,2012,26,31,36,42,49
England,2013,26,32,37,42,50
England,2014,27,32,37,43,51
England,2015,27,33,38,43,52
England,2016,27,34,38,44,52
England,2017,27,34,39,44,52
England,2018,28,35,39,45,53
England,2019,28,35,40,46,54
England,2020,29,36,41,47,55
England,2021,30,37,42,47,56
