region,year,q0.05,q0.25,q0.5,q0.75,q0.95
East Midlands,2009,25,29,33,38,46
East of England,2009,26,31,36,41,51
London,2009,25,34,40,44,54.8
No fixed abode,2009,24,30.75,35,39,46
North East,2009,24,28,33,37,43
North West,2009,26,33,37,42,49
South East,2009,24,32,36,41,50
South West,2009,23,29,34,40,48.4
Unknown,2009,26.7,31,36,39.5,47.9
West Midlands,2009,23,28,33,39,47
Yorkshire & Humber,2009,25,29,34,38,46
East Midlands,2010,24,28,33,37,45.75
East of England,2010,23.9,30.5,35,41,53
London,2010,28,34,39.5,45,55
No fixed abode,2010,24,30,35,40,45
North East,2010,25,29,33,38,45
North West,2010,26.9,33,38,42.5,50
South East,2010,25,31,36,42,51
South West,2010,23,30,35,41,49.25
Unknown,2010,22.95,30,36,40,49.45
West Midlands,2010,23,29,33,39,47
Yorkshire & Humber,2010,25,30,34,39,47
East Midlands,2011,24,30,34,38,46.5
East of England,2011,28,33,36,41.25,53
London,2011,26,33,39,45,56
No fixed abode,2011,23.6,30,36,41,48
North East,2011,26,30,34,39,45
North West,2011,26,34,39,43,50
South East,2011,25,32,37,43,52
South West,2011,25,31,36,42,50.3
Unknown,2011,25,32,37,40.75,48
West Midlands,2011,24,29,33,38.5,47
Yorkshire & Humber,2011,25,31,35,39,47
East Midlands,2012,26,30,34,38,47.05
East of England,2012,27,32.75,37.5,44,50.65
London,2012,25,32,38,43,53.8
No fixed abode,2012,27,32,37,41,44
North East,2012,27,31,35,38,45
North West,2012,26,33.75,39,43,49.05
South East,2012,26,32,36,42,51
South West,2012,23.65,30,37,43,50
Unknown,2012,27,33,38,41,49
West Midlands,2012,25,30,34,40,47.65
Yorkshire & Humber,2012,26,31,34,40,48
East Midlands,2013,26.8,31,35,40,47.2
East of England,2013,27.95,32,37,43,51
London,2013,27,34,41,46,55
No fixed abode,2013,26,32,38,42,49
North East,2013,26.75,31,35,39,47
North West,2013,27,34,39,44,50
South East,2013,26.95,33,38,42,51
South West,2013,24,31,36,41,49
Unknown,2013,25.85,31.25,37,43,48
West Midlands,2013,25.25,31,35,40,50
Yorkshire & Humber,2013,27,32,35,41,47.9499999999999
East Midlands,2014,25,31,35,41,48
East of England,2014,28,31,37,42,54
London,2014,27,35,42,48,57
No fixed abode,2014,25,32,38,42,47.1
North East,2014,27,32,36,40,48
North West,2014,28,35,40,45,52
South East,2014,26,32,38,44,52
South West,2014,25,32,36,42,50
Unknown,2014,26,31,37,42,47
West Midlands,2014,26,32,36,41,49
Yorkshire & Humber,2014,27,32,36,41,49
East Midlands,2015,26,32,36,41,49
East of England,2015,25,32,38,44,54
London,2015,27,34,40,47,55.45
No fixed abode,2015,27,32,37,42,49.65
North East,2015,27,32,36,40.25,47
North West,2015,28,36,41,46,53
South East,2015,28,33,38,44,51
South West,2015,26,32,37,43,53
Unknown,2015,28,34,39,44,50
West Midlands,2015,27,31.5,37,41,50.9
Yorkshire & Humber,2015,27,33,37,43,52
East Midlands,2016,26,32,37,42,51
East of England,2016,26,34,40,45,55
London,2016,28,36,41,47,55
No fixed abode,2016,25,31,36,40,50
North East,2016,28,34,37,41,48
North West,2016,28,36,41,46,52
South East,2016,28,34,39,45,54
South West,2016,27,33,38,44,53
Unknown,2016,28,33,38,43,51
West Midlands,2016,27,33,37,42.75,51
Yorkshire & Humber,2016,28,34,38,43,52
East Midlands,2017,26,33,37,42,50
East of England,2017,27,34,38,45,55
London,2017,28,36,42,48,56.1
No fixed abode,2017,26,32,37,41,48
North East,2017,27,33,37,42,48
North West,2017,29,36,42,47,53.5
South East,2017,27,33,38,45,52
South West,2017,27,35,39,44,52.8
Unknown,2017,26.4,32,36,42,51.6
West Midlands,2017,27.3,34,37,43,51
Yorkshire & Humber,2017,27,34,39,43,52
East Midlands,2018,28,35,39,45,53
East of England,2018,28,34,39,45,52
London,2018,30,37,43,50,56
No fixed abode,2018,26,33,38,43,49
North East,2018,28.35,35,38,43,50.65
North West,2018,29,36,42,47,54
South East,2018,28,35,41,46,54.85
South West,2018,27,35,40,45,53
Unknown,2018,26,33,38,43,49.85
West Midlands,2018,28,34,38,43,51
Yorkshire & Humber,2018,29,35,40,45,52
East Midlands,2019,27,35,40,46,54
East of England,2019,30,35,41,47,55
London,2019,30,38,44,51,58.8
No fixed abode,2019,27.15,34,38,43,51
North East,2019,26,34,38,43,52
North West,2019,30,37,43,48,55
South East,2019,28.95,36,41,47.25,56.05
South West,2019,27,34.5,40,46,54
Unknown,2019,28,34,38.5,43,50
West Midlands,2019,29,34,38,44,52
Yorkshire & Humber,2019,29,36,40,45,53
East Midlands,2020,29.3,35,39,45,51
East of England,2020,29,37,41,46,55
London,2020,29.4,38,44,50,59
No fixed abode,2020,27.45,33,38,44,50
North East,2020,28,35,40,45,54
North West,2020,31,38,43,49,56
South East,2020,28,34.75,41,47,57
South West,2020,26,36,40,45,54
Unknown,2020,30,34,38,43.25,52.7
West Midlands,2020,29,36,40,44,53.1
Yorkshire & Humber,2020,31,37,41,46,54
East Midlands,2021,30,37,41,47,56
East of England,2021,31,38,42,48,58.2
London,2021,29,39,45,51,59
No fixed abode,2021,27,34,40,43,51
North East,2021,28.15,35,40,45,53
North West,2021,31.05,39,44,49,57.9499999999999
South East,2021,31,38,43,49,58
South West,2021,27,35,41,47,55
Unknown,2021,29,34,40,44,54
West Midlands,2021,31,36,40,44,54
Yorkshire & Humber,2021,31,37,41,47,54.35
England,2002,21,26,31,36,44
England,2003,21,26,31,36,43
England,2004,22,27,31,37,45
England,2005,23,28,32,38,46
England,2006,23,28,33,38,46
England,2007,23,29,34,39,47
England,2008,24,29,35,40,48
England,2009,24,30,35,40.75,49
England,2010,25,30,36,41,50
England,2011,25,31,36,41,50
England,2012,26,31,36,42,49
England,2013,26,32,37,42,50
England,2014,27,32,37,43,51
England,2015,27,33,38,44,52
England,2016,27,34,38,44,52
England,2017,27,34,39,44,52
England,2018,28,35,39,45,53
England,2019,28,35,40,46,54
England,2020,29,36,41,47,55
England,2021,30,37,42,48,56
