Year of death registration,Usual residence code,Usual residence name,Substance,Deaths
2018,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",187
2018,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",218
2018,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",265
2018,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",201
2018,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",2017
2018,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",27
2018,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",2208
2018,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",164
2017,E12000001,North East,01 All drug poisonings,289
2017,E12000002,North West,01 All drug poisonings,654
2017,E12000003,Yorkshire and The Humber,01 All drug poisonings,409
2017,E12000004,East Midlands,01 All drug poisonings,277
2017,E12000005,West Midlands,01 All drug poisonings,327
2017,E12000006,East of England,01 All drug poisonings,318
2017,E12000007,London,01 All drug poisonings,334
2017,E12000008,South East,01 All drug poisonings,516
2017,E12000009,South West,01 All drug poisonings,358
2017,E92000001,England,01 All drug poisonings,3482
2017,J99000001,Non-residents,01 All drug poisonings,14
2017,K04000001,England and Wales,01 All drug poisonings,3756
2017,W92000004,Wales,01 All drug poisonings,260
2017,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",164
2017,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",348
2017,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",227
2017,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",122
2017,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",186
2017,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",167
2017,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",159
2017,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",269
2017,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",187
2017,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1829
2017,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",3
2017,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1985
2017,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",153
2016,E12000001,North East,01 All drug poisonings,260
2016,E12000002,North West,01 All drug poisonings,587
2016,E12000003,Yorkshire and The Humber,01 All drug poisonings,379
2016,E12000004,East Midlands,01 All drug poisonings,225
2016,E12000005,West Midlands,01 All drug poisonings,317
2016,E12000006,East of England,01 All drug poisonings,343
2016,E12000007,London,01 All drug poisonings,412
2016,E12000008,South East,01 All drug poisonings,524
2016,E12000009,South West,01 All drug poisonings,403
2016,E92000001,England,01 All drug poisonings,3450
2016,J99000001,Non-residents,01 All drug poisonings,23
2016,K04000001,England and Wales,01 All drug poisonings,3744
2016,W92000004,Wales,01 All drug poisonings,271
2016,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",160
2016,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",346
2016,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",213
2016,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",90
2016,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",192
2016,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",179
2016,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",204
2016,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",278
2016,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",206
2016,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1868
2016,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",13
2016,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",2039
2016,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",158
2015,E12000001,North East,01 All drug poisonings,245
2015,E12000002,North West,01 All drug poisonings,594
2015,E12000003,Yorkshire and The Humber,01 All drug poisonings,414
2015,E12000004,East Midlands,01 All drug poisonings,224
2015,E12000005,West Midlands,01 All drug poisonings,317
2015,E12000006,East of England,01 All drug poisonings,297
2015,E12000007,London,01 All drug poisonings,472
2015,E12000008,South East,01 All drug poisonings,502
2015,E12000009,South West,01 All drug poisonings,351
2015,E92000001,England,01 All drug poisonings,3416
2015,J99000001,Non-residents,01 All drug poisonings,20
2015,K04000001,England and Wales,01 All drug poisonings,3674
2015,W92000004,Wales,01 All drug poisonings,238
2015,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",121
2015,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",343
2015,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",244
2015,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",102
2015,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",186
2015,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",171
2015,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",209
2015,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",275
2015,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",190
2015,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1841
2015,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",7
2015,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1989
2015,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",141
2014,E12000001,North East,01 All drug poisonings,249
2014,E12000002,North West,01 All drug poisonings,577
2014,E12000003,Yorkshire and The Humber,01 All drug poisonings,279
2014,E12000004,East Midlands,01 All drug poisonings,227
2014,E12000005,West Midlands,01 All drug poisonings,347
2014,E12000006,East of England,01 All drug poisonings,329
2014,E12000007,London,01 All drug poisonings,340
2014,E12000008,South East,01 All drug poisonings,506
2014,E12000009,South West,01 All drug poisonings,302
2014,E92000001,England,01 All drug poisonings,3156
2014,J99000001,Non-residents,01 All drug poisonings,22
2014,K04000001,England and Wales,01 All drug poisonings,3346
2014,W92000004,Wales,01 All drug poisonings,168
2014,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",142
2014,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",343
2014,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",156
2014,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",96
2014,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",210
2014,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",168
2014,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",155
2014,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",272
2014,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",146
2014,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1688
2014,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",8
2014,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1786
2014,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",90
2013,E12000001,North East,01 All drug poisonings,196
2013,E12000002,North West,01 All drug poisonings,487
2013,E12000003,Yorkshire and The Humber,01 All drug poisonings,320
2013,E12000004,East Midlands,01 All drug poisonings,211
2013,E12000005,West Midlands,01 All drug poisonings,252
2013,E12000006,East of England,01 All drug poisonings,259
2013,E12000007,London,01 All drug poisonings,320
2013,E12000008,South East,01 All drug poisonings,416
2013,E12000009,South West,01 All drug poisonings,273
2013,E92000001,England,01 All drug poisonings,2734
2013,J99000001,Non-residents,01 All drug poisonings,13
2013,K04000001,England and Wales,01 All drug poisonings,2955
2013,W92000004,Wales,01 All drug poisonings,208
2013,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",105
2013,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",261
2013,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",167
2013,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",115
2013,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",169
2013,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",134
2013,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",139
2013,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",224
2013,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",155
2013,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1469
2013,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",4
2013,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1592
2013,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",119
2012,E12000001,North East,01 All drug poisonings,151
2012,E12000002,North West,01 All drug poisonings,466
2012,E12000003,Yorkshire and The Humber,01 All drug poisonings,258
2012,E12000004,East Midlands,01 All drug poisonings,194
2012,E12000005,West Midlands,01 All drug poisonings,202
2012,E12000006,East of England,01 All drug poisonings,229
2012,E12000007,London,01 All drug poisonings,283
2012,E12000008,South East,01 All drug poisonings,332
2012,E12000009,South West,01 All drug poisonings,252
2012,E92000001,England,01 All drug poisonings,2367
2012,J99000001,Non-residents,01 All drug poisonings,16
2012,K04000001,England and Wales,01 All drug poisonings,2597
2012,W92000004,Wales,01 All drug poisonings,214
2012,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",82
2012,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",244
2012,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",145
2012,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",75
2012,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",116
2012,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",110
2012,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",104
2012,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",160
2012,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",131
2012,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1167
2012,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",8
2012,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1290
2012,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",115
2011,E12000001,North East,01 All drug poisonings,163
2011,E12000002,North West,01 All drug poisonings,471
2011,E12000003,Yorkshire and The Humber,01 All drug poisonings,233
2011,E12000004,East Midlands,01 All drug poisonings,174
2011,E12000005,West Midlands,01 All drug poisonings,226
2011,E12000006,East of England,01 All drug poisonings,268
2011,E12000007,London,01 All drug poisonings,310
2011,E12000008,South East,01 All drug poisonings,339
2011,E12000009,South West,01 All drug poisonings,241
2011,E92000001,England,01 All drug poisonings,2425
2011,J99000001,Non-residents,01 All drug poisonings,12
2011,K04000001,England and Wales,01 All drug poisonings,2652
2011,W92000004,Wales,01 All drug poisonings,215
2011,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",103
2011,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",279
2011,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",137
2011,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",85
2011,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",111
2011,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",135
2011,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",131
2011,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",182
2011,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",143
2011,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1306
2011,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",6
2011,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1439
2011,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",127
2010,E12000001,North East,01 All drug poisonings,171
2010,E12000002,North West,01 All drug poisonings,436
2010,E12000003,Yorkshire and The Humber,01 All drug poisonings,244
2010,E12000004,East Midlands,01 All drug poisonings,181
2010,E12000005,West Midlands,01 All drug poisonings,248
2010,E12000006,East of England,01 All drug poisonings,227
2010,E12000007,London,01 All drug poisonings,356
2010,E12000008,South East,01 All drug poisonings,362
2010,E12000009,South West,01 All drug poisonings,284
2010,E92000001,England,01 All drug poisonings,2509
2010,J99000001,Non-residents,01 All drug poisonings,14
2010,K04000001,England and Wales,01 All drug poisonings,2747
2010,W92000004,Wales,01 All drug poisonings,224
2010,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",105
2010,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",245
2010,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",156
2010,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",90
2010,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",139
2010,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",121
2010,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",170
2010,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",200
2010,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",158
2010,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1384
2010,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",5
2010,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1527
2010,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",138
2009,E12000001,North East,01 All drug poisonings,185
2009,E12000002,North West,01 All drug poisonings,500
2009,E12000003,Yorkshire and The Humber,01 All drug poisonings,270
2009,E12000004,East Midlands,01 All drug poisonings,218
2009,E12000005,West Midlands,01 All drug poisonings,218
2009,E12000006,East of England,01 All drug poisonings,240
2009,E12000007,London,01 All drug poisonings,344
2009,E12000008,South East,01 All drug poisonings,407
2009,E12000009,South West,01 All drug poisonings,293
2009,E92000001,England,01 All drug poisonings,2675
2009,J99000001,Non-residents,01 All drug poisonings,19
2009,K04000001,England and Wales,01 All drug poisonings,2878
2009,W92000004,Wales,01 All drug poisonings,184
2009,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",119
2009,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",280
2009,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",147
2009,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",117
2009,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",113
2009,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",124
2009,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",154
2009,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",238
2009,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",181
2009,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1473
2009,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",11
2009,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1600
2009,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",116
2008,E12000001,North East,01 All drug poisonings,164
2008,E12000002,North West,01 All drug poisonings,509
2008,E12000003,Yorkshire and The Humber,01 All drug poisonings,271
2008,E12000004,East Midlands,01 All drug poisonings,206
2008,E12000005,West Midlands,01 All drug poisonings,254
2008,E12000006,East of England,01 All drug poisonings,287
2008,E12000007,London,01 All drug poisonings,374
2008,E12000008,South East,01 All drug poisonings,364
2008,E12000009,South West,01 All drug poisonings,305
2008,E92000001,England,01 All drug poisonings,2734
2008,J99000001,Non-residents,01 All drug poisonings,33
2008,K04000001,England and Wales,01 All drug poisonings,2928
2008,W92000004,Wales,01 All drug poisonings,161
2008,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",98
2008,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",283
2008,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",157
2008,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",99
2008,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",142
2008,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",151
2008,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",151
2008,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",201
2008,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",182
2008,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1464
2008,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",22
2008,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1575
2008,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",89
2007,E12000001,North East,01 All drug poisonings,135
2007,E12000002,North West,01 All drug poisonings,389
2007,E12000003,Yorkshire and The Humber,01 All drug poisonings,249
2007,E12000004,East Midlands,01 All drug poisonings,209
2007,E12000005,West Midlands,01 All drug poisonings,232
2007,E12000006,East of England,01 All drug poisonings,221
2007,E12000007,London,01 All drug poisonings,341
2007,E12000008,South East,01 All drug poisonings,389
2007,E12000009,South West,01 All drug poisonings,268
2007,E92000001,England,01 All drug poisonings,2433
2007,J99000001,Non-residents,01 All drug poisonings,18
2007,K04000001,England and Wales,01 All drug poisonings,2640
2007,W92000004,Wales,01 All drug poisonings,189
2007,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",73
2007,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",207
2007,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",149
2007,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",101
2007,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",137
2007,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",111
2007,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",153
2007,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",209
2007,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",159
2007,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1299
2007,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",8
2007,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1403
2007,W92000004,Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",96
2006,E12000001,North East,01 All drug poisonings,167
2006,E12000002,North West,01 All drug poisonings,422
2006,E12000003,Yorkshire and The Humber,01 All drug poisonings,273
2006,E12000004,East Midlands,01 All drug poisonings,180
2006,E12000005,West Midlands,01 All drug poisonings,213
2006,E12000006,East of England,01 All drug poisonings,187
2006,E12000007,London,01 All drug poisonings,366
2006,E12000008,South East,01 All drug poisonings,352
2006,E12000009,South West,01 All drug poisonings,236
2006,E92000001,England,01 All drug poisonings,2396
2006,J99000001,Non-residents,01 All drug poisonings,17
2006,K04000001,England and Wales,01 All drug poisonings,2570
2006,W92000004,Wales,01 All drug poisonings,157
2006,E12000001,North East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",78
2006,E12000002,North West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",204
2006,E12000003,Yorkshire and The Humber,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",138
2006,E12000004,East Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",85
2006,E12000005,West Midlands,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",112
2006,E12000006,East of England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",79
2006,E12000007,London,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",168
2006,E12000008,South East,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",174
2006,E12000009,South West,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",121
2006,E92000001,England,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1159
2006,J99000001,Non-residents,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",7
2006,K04000001,England and Wales,"02 Any opiate (includes unspecified opiates, excludes paracetamol compounds)",1241
